race,hours,age,parttime,educ,logwg,loghrwg,married,nevermar,sepdivw
1,0,26,0,16,7.338537,2.957511,1,0,0
1,40,41,0,12,6.579251,2.890372,1,0,0
1,20,41,1,12,6.194406,3.198673,1,0,0
0,40,38,0,12,6.39693,2.70805,0,1,0
1,36,30,0,16,6.984716,3.401197,1,0,0
1,0,22,0,14,6.907755,2.397895,1,0,0
1,0,25,0,12,6.55108,2.931194,1,0,0
0,40,38,0,14,6.673551,2.984671,0,1,0
0,0,19,1,12,4.787492,1.981001,0,1,0
0,40,22,0,14,6.429719,2.74084,0,1,0
1,0,39,1,12,2.995732,3.002211,0,1,0
1,25,16,1,11,5.521461,2.302585,0,1,0
1,0,55,0,14,6.856462,2.99072,1,0,0
0,40,22,0,14,6.39693,2.70805,0,1,0
1,8,82,1,12,4.219508,2.140066,0,0,1
0,0,53,0,18,7.784823,4.094345,0,1,0
0,0,20,1,14,4.174387,2.302585,0,1,0
0,40,29,0,12,6.313548,2.624669,0,1,0
0,40,62,0,12,6.762961,3.074081,1,0,0
1,35,61,0,12,5.953243,2.397895,0,1,0
1,0,63,0,16,7.338537,3.871201,1,0,0
0,40,34,0,12,6.131227,2.442347,1,0,0
0,0,26,0,16,5.857933,2.70805,0,1,0
1,25,37,1,14,5.991465,2.772589,0,1,0
0,60,39,0,18,7.967145,3.401197,1,0,0
0,0,37,0,12,7.130899,2.74084,1,0,0
1,0,31,0,12,6.539586,2.70805,1,0,0
1,36,31,0,12,5.543614,1.960095,0,1,0
1,30,20,1,12,5.726522,2.325325,0,1,0
1,0,62,0,14,6.848324,3.282789,0,0,1
1,0,35,1,2.5,5.521461,2.079442,0,0,1
0,40,40,0,12,6.907755,3.218876,1,0,0
0,40,30,0,12,6.933033,3.244153,1,0,0
0,0,24,0,14,6.183344,2.583997,0,1,0
1,0,47,1,14,5.218246,3.401197,1,0,0
1,24,18,1,11,5.31812,2.140066,0,1,0
1,38,59,0,12,6.470799,2.833213,1,0,0
0,40,57,0,14,6.011267,2.322388,0,1,0
1,40,43,0,12,6.809039,3.12016,1,0,0
1,40,62,0,14,6.972419,3.283539,1,0,0
0,40,44,0,9,5.828946,2.140066,0,1,0
1,0,47,0,12,5.991465,2.484907,0,0,1
1,0,72,1,12,5.926926,2.174752,1,0,0
1,0,44,0,14,7.561678,3.401197,1,0,0
1,0,29,1,14,5.991465,2.995732,1,0,0
0,40,24,0,14,6.39693,2.70805,0,1,0
1,40,44,0,12,6.394928,2.706048,0,0,1
1,40,54,0,9,6.182085,2.351375,0,0,1
0,4,54,0,11,6.592222,2.429218,0,1,0
0,0,36,0,14,6.214608,2.718,0,0,1
1,0,55,0,18,7.65699,3.970292,0,0,1
1,0,41,0,16,7.410855,3.721831,0,0,1
1,35,59,0,12,6.758094,3.202746,1,0,0
1,35,51,0,12,6.040255,2.484907,0,1,0
1,50,42,0,16,7.967145,4.055084,1,0,0
1,40,31,0,14,6.173786,2.484907,1,0,0
1,40,24,0,12,6.263398,2.302585,0,1,0
1,40,20,0,12,5.991465,2.302585,0,1,0
1,40,63,0,12,6.866933,3.178054,1,0,0
1,40,40,0,14,6.649503,2.865623,1,0,0
1,4,21,1,14,4.477337,3.091043,0,1,0
0,40,62,0,7.5,6.309918,2.621039,1,0,0
0,40,59,0,18,7.495542,3.806663,1,0,0
